"","game_id","temp","home_team","away_team","total","season","season_type","total_line","Home_Off_EPA","Away_Off_EPA","Home_Def_EPA","Away_Def_EPA"
"63","1999_05_SD_DET",70,"DET","LAC",30,1999,"REG",40,-0.066410792902094,-0.151411790688339,-0.0706411806641206,-0.0476406207813872
"64","1999_05_TB_GB",58,"GB","TB",49,1999,"REG",40.5,-0.0359459460353718,-0.153246261216447,-0.0371942989071864,-0.160538956522843
"65","1999_06_CLE_JAX",71,"JAX","CLE",31,1999,"REG",37.5,0.0509792097802891,-0.128421866084313,-0.141786930850859,0.0958401521270922
"66","1999_06_DAL_NYG",58,"NYG","DAL",23,1999,"REG",37,-0.0944093281821133,-0.0167078154131911,-0.0585346439234138,-0.103409599510719
"67","1999_06_GB_DEN",50,"DEN","GB",41,1999,"REG",40,-0.0476760724568105,-0.0359459460353718,-0.0718048381223878,-0.0371942989071864
"68","1999_06_IND_NYJ",68,"NYJ","IND",29,1999,"REG",42.5,-0.0361453822069057,0.0532506536760625,-0.0435381647914199,-0.0346917887928632
"69","1999_06_MIA_NE",72,"NE","MIA",61,1999,"REG",42.5,-0.118039304503421,-0.124326538966527,-0.0991727880793192,-0.119362696357513
"70","1999_06_MIN_DET",70,"DET","MIN",48,1999,"REG",45,-0.066410792902094,0.0101292350753879,-0.0706411806641206,-0.0179583103388012
"71","1999_06_OAK_BUF",52,"BUF","LV",34,1999,"REG",40.5,-0.0200859727965251,0.0409182483943874,-0.164175830394738,-0.0696037966147988
"72","1999_06_PHI_CHI",51,"CHI","PHI",36,1999,"REG",35,-0.0816906338478077,-0.196024497010181,-0.0117423473227055,-0.118400876980923
"73","1999_06_PIT_CIN",58,"CIN","PIT",20,1999,"REG",37.5,-0.0765610322310608,-0.0716650613963292,0.0406865938569526,-0.0592910040589442
"74","1999_06_SEA_SD",78,"LAC","SEA",23,1999,"REG",37.5,-0.151411790688339,-0.088355051425911,-0.0476406207813872,-0.0750516760766315
"75","1999_06_TEN_NO",70,"NO","TEN",45,1999,"REG",36.5,-0.134665779881997,0.0089118740477988,-0.00342001791679179,-0.0391387146349858
"76","1999_06_WAS_ARI",79,"ARI","WAS",34,1999,"REG",45.5,-0.196485699961533,0.0763603862294098,-0.00356396013036691,-0.0021484395923787
"77","1999_07_ATL_PIT",53,"PIT","ATL",22,1999,"REG",37,-0.0716650613963292,-0.116601109884423,-0.0592910040589442,0.0035041812073711
"78","1999_07_BUF_SEA",70,"SEA","BUF",42,1999,"REG",38,-0.088355051425911,-0.0200859727965251,-0.0750516760766315,-0.164175830394738
"79","1999_07_CHI_TB",66,"TB","CHI",9,1999,"REG",36.5,-0.153246261216447,-0.0816906338478077,-0.160538956522843,-0.0117423473227055
"80","1999_07_CIN_IND",70,"IND","CIN",41,1999,"REG",44,0.0532506536760625,-0.0765610322310608,-0.0346917887928632,0.0406865938569526
"81","1999_07_DEN_NE",53,"NE","DEN",47,1999,"REG",40.5,-0.118039304503421,-0.0476760724568105,-0.0991727880793192,-0.0718048381223878
"82","1999_07_DET_CAR",55,"CAR","DET",33,1999,"REG",43.5,0.0115559488463279,-0.066410792902094,0.0501524852186217,-0.0706411806641206
"83","1999_07_GB_SD",78,"LAC","GB",34,1999,"REG",37.5,-0.151411790688339,-0.0359459460353718,-0.0476406207813872,-0.0371942989071864
"84","1999_07_KC_BAL",55,"BAL","KC",43,1999,"REG",36,-0.138212952029977,-0.00875096830323809,-0.172476890740374,-0.15516087519915
"85","1999_07_NO_NYG",54,"NYG","NO",34,1999,"REG",34,-0.0944093281821133,-0.134665779881997,-0.0585346439234138,-0.00342001791679179
"86","1999_07_NYJ_OAK",63,"LV","NYJ",47,1999,"REG",37,0.0409182483943874,-0.0361453822069057,-0.0696037966147988,-0.0435381647914199
"87","1999_07_PHI_MIA",75,"MIA","PHI",29,1999,"REG",34,-0.124326538966527,-0.196024497010181,-0.119362696357513,-0.118400876980923
"88","1999_07_WAS_DAL",64,"DAL","WAS",58,1999,"REG",44,-0.0167078154131911,0.0763603862294098,-0.103409599510719,-0.0021484395923787
"89","1999_08_BUF_BAL",71,"BAL","BUF",23,1999,"REG",36.5,-0.138212952029977,-0.0200859727965251,-0.172476890740374,-0.164175830394738
"90","1999_08_CAR_ATL",70,"ATL","CAR",47,1999,"REG",40,-0.116601109884423,0.0115559488463279,0.0035041812073711,0.0501524852186217
"91","1999_08_CHI_WAS",75,"WAS","CHI",70,1999,"REG",44,0.0763603862294098,-0.0816906338478077,-0.0021484395923787,-0.0117423473227055
"92","1999_08_CLE_NO",70,"NO","CLE",37,1999,"REG",33.5,-0.134665779881997,-0.128421866084313,-0.00342001791679179,0.0958401521270922
"93","1999_08_DAL_IND",70,"IND","DAL",58,1999,"REG",46,0.0532506536760625,-0.0167078154131911,-0.0346917887928632,-0.103409599510719
"94","1999_08_JAX_CIN",69,"CIN","JAX",51,1999,"REG",38,-0.0765610322310608,0.0509792097802891,0.0406865938569526,-0.141786930850859
"95","1999_08_MIA_OAK",70,"LV","MIA",25,1999,"REG",37,0.0409182483943874,-0.124326538966527,-0.0696037966147988,-0.119362696357513
"96","1999_08_MIN_DEN",75,"DEN","MIN",43,1999,"REG",45,-0.0476760724568105,0.0101292350753879,-0.0718048381223878,-0.0179583103388012
"97","1999_08_NE_ARI",88,"ARI","NE",30,1999,"REG",40.5,-0.196485699961533,-0.118039304503421,-0.00356396013036691,-0.0991727880793192
"98","1999_08_NYG_PHI",63,"PHI","NYG",40,1999,"REG",33.5,-0.196024497010181,-0.0944093281821133,-0.118400876980923,-0.0585346439234138
"99","1999_08_SD_KC",65,"KC","LAC",34,1999,"REG",35,-0.00875096830323809,-0.151411790688339,-0.15516087519915,-0.0476406207813872
"100","1999_08_SEA_GB",40,"GB","SEA",34,1999,"REG",42.5,-0.0359459460353718,-0.088355051425911,-0.0371942989071864,-0.0750516760766315
"101","1999_08_TB_DET",70,"DET","TB",23,1999,"REG",35,-0.066410792902094,-0.153246261216447,-0.0706411806641206,-0.160538956522843
"102","1999_09_ARI_NYJ",48,"NYJ","ARI",19,1999,"REG",35,-0.0361453822069057,-0.196485699961533,-0.0435381647914199,-0.00356396013036691
"103","1999_09_BAL_CLE",47,"CLE","BAL",50,1999,"REG",32.5,-0.128421866084313,-0.138212952029977,0.0958401521270922,-0.172476890740374
"104","1999_09_BUF_WAS",54,"WAS","BUF",51,1999,"REG",47,0.0763603862294098,-0.0200859727965251,-0.0021484395923787,-0.164175830394738
"105","1999_09_CHI_GB",51,"GB","CHI",27,1999,"REG",40.5,-0.0359459460353718,-0.0816906338478077,-0.0371942989071864,-0.0117423473227055
"106","1999_09_CIN_SEA",70,"SEA","CIN",57,1999,"REG",40,-0.088355051425911,-0.0765610322310608,-0.0750516760766315,0.0406865938569526
